6050,Software Engineering,"Full cycle of a software system development effort, including requirements definition, system analysis, design, implementation, and testing. Special emphasis is placed on system analysis and design. The design phase includes development of a user interface. A large term project incorporates the full software life cycle.",Fall/Spring
6060,Mobile Software Development,"Introduction to software development for mobile devices, such as smartphones and tablets. Topics include life cycle of mobile applications, mobile UI design, views, widgets, location and maps, local data handling, and interaction with Web services and databases. Students design, implement, and analyze mobile applications.",Not offered on a regular basis
6070,Introduction to Game Programming,"An introduction to the application of programming methodology to the production of computer and video games, including user education, algorithms, display methods, and sound. This course will begin with two-dimensional games using available standard program libraries.",Not offered on a regular basis
6080,Intermediate Game Programming,"An introduction to the application of programming methodology to the production of computer and video games, including user education, algorithms, display methods, and sound. This course will begin with two-dimensional games using available standard program libraries.",Not offered on a regular basis
6130,CUDA C Programming on GPUs for High Performance Computing,"GPUs are high-performance many-core processors. Students will learn massively parallel programming using CUDA C and develop parallel algorithms to solve real problems. Topics include parallel computing, GPUs architecture, threads, performance issues, and floating point representation.",Not offered on a regular basis
6140,Numerical Methods and Computing,"Numerical methods and computing. Topics include: computer arithmetic; numerical solutions of nonlinear equations; polynomial interpolation; numerical differentiation and integration; numerical solutions of systems of linear equations, initial and boundary value problems, systems of ordinary differential equations, spline functions, and the method of least squares.",Not offered on a regular basis
6150,Numerical Simulations in Science and Engineering,"Computationally oriented, covering a wide range of topics that are necessary for numerical simulation in science and engineering. Sequential and parallel numerical methods will be introduced. Available symbolic and numerical software packages (e.g., Matlab, Maple and MPI) and visualization tools will be used in the mathematical simulations.",Offered every year
6170,Introduction to Computational Investing,"An introduction to implementing computational-based trading strategies from information gathering to market ordering and trading, including probabilistic machine-learning approaches to situational analysis and to trading decisions. We consider approaches like linear regression, decision trees, K nearest neighbors, and reinforcement learning and apply them to real- world trading.",Not offered on a regular basis
6210,Simulation and Modeling,"The modeling and simulation of existing or planned systems for the purpose of studying their correctness, reliability, or performance. Topics to be addressed include discrete-event simulation, continuous simulation, analysis and modeling methodologies, animation, virtual reality, and Web-based simulation. \n In this course, we will study complex dynamic systems, examining their performance, reliability, etc. The reason for doing this is to improve such systems either in the design phase (before a costly system is built) or the operation phase (tune or upgrade). A simulation model may be used for such studies. It is an approximation of the complex system that captures its essential properties and often mimics the behavior of the actual system. Behavior is studied by carrying out multiple runs of the simulation model to produce statistical outputs of properties such as system response time or throughput. Further insight into system behavior can be gained by animating the model. The course will involve a major project to create a simulation model of a system chosen by the project group (2 students). The model will be created using Java 6.0 and parts of JSIM, a simulation system coded in Java.",Not offered on a regular basis
6250,Cyber Security,"Basic concepts of computer security and the theory and current practices of authentication, authorization, and privacy mechanisms in modern operating systems and networks.",Not offered on a regular basis
6260,Data Security and Privacy,"Examination of security and privacy issues related to protecting personal data in various environments (for example: cloud computing, smart grid, and internet of things) cover the fundamentals and principles of data security and privacy, and computational and statistical techniques for constructing secure and private systems.",Not offered on a regular basis
6270,Introduction to Computer Forensics,"The principles and practice of computer forensics. Topics include computer crime, software vulnerabilities, intellectual property, privacy issues, countermeasures, methods and standards for extraction, preservation, and deposition of legal evidence in a court of law.",Not offered on a regular basis
6330,Artificial Intelligence and the Web,"The application of artificial intelligence methodologies and algorithms to problems involving the world wide web. Introduction to problem-­solving, knowledge representation, learning, and reasoning techniques and exploration of how they are applied to enable information provisioning, social networking, and service provisioning on the web.",Not offered on a regular basis
6350,Global Information Systems,"Provides intermediate to advanced understanding of the use of Internet, World Wide Web, and network computing (including Java) technologies for management (search, access, integration, presentation) of multimedia information. Topics discussed include key techniques, tools and technologies for creating such systems, developing novel applications, and their impact on business.",Not offered on a regular basis
6360,Data Science II,"An introduction to advanced analytics techniques in data science, including random forests, semi-supervised learning, spectral analytics, randomized algorithms, and just-in-time compilers. Distributed and out-of-core processing.",Offered every year
6370,Database Management,"The theory and practice of database management. Topics to be covered include efficient file access techniques, the relational data model as well as other data models, query languages, database design using entity-­relationship diagrams and normalization theory, query optimization, and transaction processing.",Fall/Spring
